page,project,url,wikilink
안도라의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EC%95%88%EB%8F%84%EB%9D%BC%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:안도라의 코로나바이러스감염증-19 범유행
Pandemia COVID-19 w Andorze,pl.wikipedia,https://pl.wikipedia.org/wiki/Pandemia_COVID-19_w_Andorze,[[pl:Pandemia COVID-19 w Andorze
Pandemia de COVID-19 em Andorra,pt.wikipedia,https://pt.wikipedia.org/wiki/Pandemia_de_COVID-19_em_Andorra,[[pt:Pandemia de COVID-19 em Andorra
Andorrada COVID-19 pandemiyasi,uz.wikipedia,https://uz.wikipedia.org/wiki/Andorrada_COVID-19_pandemiyasi,[[uz:Andorrada COVID-19 pandemiyasi
Đại dịch COVID-19 tại Andorra,vi.wikipedia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Andorra,[[vi:Đại dịch COVID-19 tại Andorra
جائحة فيروس كورونا في هايتي 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%87%D8%A7%D9%8A%D8%AA%D9%8A_2020,[[ar:جائحة فيروس كورونا في هايتي 2020
COVID-19 pandemic in Haiti,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Haiti,[[en:COVID-19 pandemic in Haiti
Pandémie de Covid-19 en Haïti,fr.wikipedia,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_Covid-19_en_Ha%C3%AFti,[[fr:Pandémie de Covid-19 en Haïti
Pandemi maladi kowonaviris an 2020 nan Ayiti,ht.wikipedia,https://ht.wikipedia.org/wiki/Pandemi_maladi_kowonaviris_an_2020_nan_Ayiti,[[ht:Pandemi maladi kowonaviris an 2020 nan Ayiti
아이티의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EC%95%84%EC%9D%B4%ED%8B%B0%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:아이티의 코로나바이러스감염증-19 범유행
Pandemia de COVID-19 no Haiti,pt.wikipedia,https://pt.wikipedia.org/wiki/Pandemia_de_COVID-19_no_Haiti,[[pt:Pandemia de COVID-19 no Haiti
West Kowloon Station,de.wikipedia,https://de.wikipedia.org/wiki/West_Kowloon_Station,[[de:West Kowloon Station
Hong Kong West Kowloon railway station,en.wikipedia,https://en.wikipedia.org/wiki/Hong_Kong_West_Kowloon_railway_station,[[en:Hong Kong West Kowloon railway station
Estación de West Kowloon,es.wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_de_West_Kowloon,[[es:Estación de West Kowloon
Gare de Hong Kong-West Kowloon,fr.wikipedia,https://fr.wikipedia.org/wiki/Gare_de_Hong_Kong-West_Kowloon,[[fr:Gare de Hong Kong-West Kowloon
香港西九龍駅,ja.wikipedia,https://ja.wikipedia.org/wiki/%E9%A6%99%E6%B8%AF%E8%A5%BF%E4%B9%9D%E9%BE%8D%E9%A7%85,[[ja:香港西九龍駅
Западный Коулун (вокзал),ru.wikipedia,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BF%D0%B0%D0%B4%D0%BD%D1%8B%D0%B9_%D0%9A%D0%BE%D1%83%D0%BB%D1%83%D0%BD_(%D0%B2%D0%BE%D0%BA%D0%B7%D0%B0%D0%BB),[[ru:Западный Коулун (вокзал)
香港西九龍驛,zh-classical.wikipedia,https://zh-classical.wikipedia.org/wiki/%E9%A6%99%E6%B8%AF%E8%A5%BF%E4%B9%9D%E9%BE%8D%E9%A9%9B,[[zh-classical:香港西九龍驛
香港西九龍站,zh-yue.wikipedia,https://zh-yue.wikipedia.org/wiki/%E9%A6%99%E6%B8%AF%E8%A5%BF%E4%B9%9D%E9%BE%8D%E7%AB%99,[[zh-yue:香港西九龍站
香港西九龍站,zh.wikipedia,https://zh.wikipedia.org/wiki/%E9%A6%99%E6%B8%AF%E8%A5%BF%E4%B9%9D%E9%BE%8D%E7%AB%99,[[zh:香港西九龍站
جائحة فيروس كورونا في تيمور الشرقية 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%AA%D9%8A%D9%85%D9%88%D8%B1_%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9_2020,[[ar:جائحة فيروس كورونا في تيمور الشرقية 2020
Şərqi Timorda koronavirus pandemiyası 2020,az.wikipedia,https://az.wikipedia.org/wiki/%C5%9E%C9%99rqi_Timorda_koronavirus_pandemiyas%C4%B1_2020,[[az:Şərqi Timorda koronavirus pandemiyası 2020
Pandèmia per coronavirus de 2020 a Timor Oriental,ca.wikipedia,https://ca.wikipedia.org/wiki/Pand%C3%A8mia_per_coronavirus_de_2020_a_Timor_Oriental,[[ca:Pandèmia per coronavirus de 2020 a Timor Oriental
COVID-19-Pandemie in Osttimor,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Osttimor,[[de:COVID-19-Pandemie in Osttimor
COVID-19 pandemic in East Timor,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_East_Timor,[[en:COVID-19 pandemic in East Timor
Pandemia por coronavirus de 2020 en Timor Leste,gl.wikipedia,https://gl.wikipedia.org/wiki/Pandemia_por_coronavirus_de_2020_en_Timor_Leste,[[gl:Pandemia por coronavirus de 2020 en Timor Leste
Pandemi koronavirus di Timor Leste,id.wikipedia,https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Timor_Leste,[[id:Pandemi koronavirus di Timor Leste
동티모르의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EB%8F%99%ED%8B%B0%EB%AA%A8%EB%A5%B4%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:동티모르의 코로나바이러스감염증-19 범유행
Pandemik COVID-19 di Timor Leste,ms.wikipedia,https://ms.wikipedia.org/wiki/Pandemik_COVID-19_di_Timor_Leste,[[ms:Pandemik COVID-19 di Timor Leste
Pandemia de COVID-19 em Timor-Leste,pt.wikipedia,https://pt.wikipedia.org/wiki/Pandemia_de_COVID-19_em_Timor-Leste,[[pt:Pandemia de COVID-19 em Timor-Leste
Doğu Timor'da COVID-19 pandemisi,tr.wikipedia,https://tr.wikipedia.org/wiki/Do%C4%9Fu_Timor%27da_COVID-19_pandemisi,[[tr:Doğu Timor'da COVID-19 pandemisi
Коронавірусна хвороба 2019 у Східному Тиморі,uk.wikipedia,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D1%96%D1%80%D1%83%D1%81%D0%BD%D0%B0_%D1%85%D0%B2%D0%BE%D1%80%D0%BE%D0%B1%D0%B0_2019_%D1%83_%D0%A1%D1%85%D1%96%D0%B4%D0%BD%D0%BE%D0%BC%D1%83_%D0%A2%D0%B8%D0%BC%D0%BE%D1%80%D1%96,[[uk:Коронавірусна хвороба 2019 у Східному Тиморі
Sharqiy Timorda COVID-19 pandemiyasi,uz.wikipedia,https://uz.wikipedia.org/wiki/Sharqiy_Timorda_COVID-19_pandemiyasi,[[uz:Sharqiy Timorda COVID-19 pandemiyasi
COVID-19-Pandemie in Palau,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Palau,[[de:COVID-19-Pandemie in Palau
2020 coronavirus pandemic in Palau,en.wikipedia,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Palau,[[en:2020 coronavirus pandemic in Palau
التسلسل الزمني لجائحة فيروس كورونا 2019-20 في مايو 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D8%B3%D9%84%D8%B3%D9%84_%D8%A7%D9%84%D8%B2%D9%85%D9%86%D9%8A_%D9%84%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_2019-20_%D9%81%D9%8A_%D9%85%D8%A7%D9%8A%D9%88_2020,[[ar:التسلسل الزمني لجائحة فيروس كورونا 2019-20 في مايو 2020
Timeline of the COVID-19 pandemic in May 2020,en.wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_May_2020,[[en:Timeline of the COVID-19 pandemic in May 2020
Kronologi pandemi koronavirus Mei 2020,id.wikipedia,https://id.wikipedia.org/wiki/Kronologi_pandemi_koronavirus_Mei_2020,[[id:Kronologi pandemi koronavirus Mei 2020
Garis masa pandemik COVID-19 pada Mei 2020,ms.wikipedia,https://ms.wikipedia.org/wiki/Garis_masa_pandemik_COVID-19_pada_Mei_2020,[[ms:Garis masa pandemik COVID-19 pada Mei 2020
Cronologia da pandemia de COVID-19 em maio de 2020,pt.wikipedia,https://pt.wikipedia.org/wiki/Cronologia_da_pandemia_de_COVID-19_em_maio_de_2020,[[pt:Cronologia da pandemia de COVID-19 em maio de 2020
Dòng thời gian của đại dịch COVID-19 vào tháng 5 năm 2020,vi.wikipedia,https://vi.wikipedia.org/wiki/D%C3%B2ng_th%E1%BB%9Di_gian_c%E1%BB%A7a_%C4%91%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_v%C3%A0o_th%C3%A1ng_5_n%C4%83m_2020,[[vi:Dòng thời gian của đại dịch COVID-19 vào tháng 5 năm 2020
تصنيف:جائحة فيروس كورونا في أفريقيا,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AA%D8%B5%D9%86%D9%8A%D9%81:%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7,[[ar:تصنيف:جائحة فيروس كورونا في أفريقيا
Kateqoriya:Afrikada koronavirus pandemiyası 2020,az.wikipedia,https://az.wikipedia.org/wiki/Kateqoriya:Afrikada_koronavirus_pandemiyas%C4%B1_2020,[[az:Kateqoriya:Afrikada koronavirus pandemiyası 2020
Category:COVID-19 pandemic in Africa,en.wikipedia,https://en.wikipedia.org/wiki/Category:COVID-19_pandemic_in_Africa,[[en:Category:COVID-19 pandemic in Africa
Catégorie:Pandémie de Covid-19 en Afrique,fr.wikipedia,https://fr.wikipedia.org/wiki/Cat%C3%A9gorie:Pand%C3%A9mie_de_Covid-19_en_Afrique,[[fr:Catégorie:Pandémie de Covid-19 en Afrique
분류:아프리카의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EB%B6%84%EB%A5%98:%EC%95%84%ED%94%84%EB%A6%AC%EC%B9%B4%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:분류:아프리카의 코로나바이러스감염증-19 범유행
Kategori:Pandemik COVID-19 di Afrika,ms.wikipedia,https://ms.wikipedia.org/wiki/Kategori:Pandemik_COVID-19_di_Afrika,[[ms:Kategori:Pandemik COVID-19 di Afrika
Categorie:Coronacrisis in Afrika,nl.wikipedia,https://nl.wikipedia.org/wiki/Categorie:Coronacrisis_in_Afrika,[[nl:Categorie:Coronacrisis in Afrika
Categoria:Pandemia de COVID-19 na África,pt.wikipedia,https://pt.wikipedia.org/wiki/Categoria:Pandemia_de_COVID-19_na_%C3%81frica,[[pt:Categoria:Pandemia de COVID-19 na África
Категория:Пандемия COVID-19 в Африке,ru.wikipedia,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%9F%D0%B0%D0%BD%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F_COVID-19_%D0%B2_%D0%90%D1%84%D1%80%D0%B8%D0%BA%D0%B5,[[ru:Категория:Пандемия COVID-19 в Африке
زمرہ:افریقا میں کورونا وائرس کی وبا، 2020ء,ur.wikipedia,https://ur.wikipedia.org/wiki/%D8%B2%D9%85%D8%B1%DB%81:%D8%A7%D9%81%D8%B1%DB%8C%D9%82%D8%A7_%D9%85%DB%8C%DA%BA_%DA%A9%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%88%D8%A7%D8%A6%D8%B1%D8%B3_%DA%A9%DB%8C_%D9%88%D8%A8%D8%A7%D8%8C_2020%D8%A1,[[ur:زمرہ:افریقا میں کورونا وائرس کی وبا، 2020ء
Thể loại:Đại dịch COVID-19 tại châu Phi,vi.wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%83_lo%E1%BA%A1i:%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_ch%C3%A2u_Phi,[[vi:Thể loại:Đại dịch COVID-19 tại châu Phi
Category:2019冠狀病毒病非洲疫情,zh.wikipedia,https://zh.wikipedia.org/wiki/Category:2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E9%9D%9E%E6%B4%B2%E7%96%AB%E6%83%85,[[zh:Category:2019冠狀病毒病非洲疫情
حفل كورونا,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AD%D9%81%D9%84_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7,[[ar:حفل كورونا
Corona-Party,de.wikipedia,https://de.wikipedia.org/wiki/Corona-Party,[[de:Corona-Party
Coronavirus party,en.wikipedia,https://en.wikipedia.org/wiki/Coronavirus_party,[[en:Coronavirus party
Coronavirus party,fr.wikipedia,https://fr.wikipedia.org/wiki/Coronavirus_party,[[fr:Coronavirus party
ಕೊರೋನಾವೈರಸ್ ಪಾರ್ಟಿ,kn.wikipedia,https://kn.wikipedia.org/wiki/%E0%B2%95%E0%B3%8A%E0%B2%B0%E0%B3%8B%E0%B2%A8%E0%B2%BE%E0%B2%B5%E0%B3%88%E0%B2%B0%E0%B2%B8%E0%B3%8D_%E0%B2%AA%E0%B2%BE%E0%B2%B0%E0%B3%8D%E0%B2%9F%E0%B2%BF,[[kn:ಕೊರೋನಾವೈರಸ್ ಪಾರ್ಟಿ
Coronaparty,nl.wikipedia,https://nl.wikipedia.org/wiki/Coronaparty,[[nl:Coronaparty
Koronavirusparty,no.wikipedia,https://no.wikipedia.org/wiki/Koronavirusparty,[[no:Koronavirusparty
கொரோனாவைரசு விருந்து,ta.wikipedia,https://ta.wikipedia.org/wiki/%E0%AE%95%E0%AF%8A%E0%AE%B0%E0%AF%8B%E0%AE%A9%E0%AE%BE%E0%AE%B5%E0%AF%88%E0%AE%B0%E0%AE%9A%E0%AF%81_%E0%AE%B5%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%81,[[ta:கொரோனாவைரசு விருந்து
جائحة فيروس كورونا في خوبي 2019–20,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%AE%D9%88%D8%A8%D9%8A_2019%E2%80%9320,[[ar:جائحة فيروس كورونا في خوبي 2019–20
COVID-19 pandemic in Hubei,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Hubei,[[en:COVID-19 pandemic in Hubei
Đại dịch COVID-19 tại Hồ Bắc,vi.wikipedia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_H%E1%BB%93_B%E1%BA%AFc,[[vi:Đại dịch COVID-19 tại Hồ Bắc
武漢肺炎湖北疫情,zh-yue.wikipedia,https://zh-yue.wikipedia.org/wiki/%E6%AD%A6%E6%BC%A2%E8%82%BA%E7%82%8E%E6%B9%96%E5%8C%97%E7%96%AB%E6%83%85,[[zh-yue:武漢肺炎湖北疫情
2019冠状病毒病湖北省疫情,zh.wikipedia,https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E6%B9%96%E5%8C%97%E7%9C%81%E7%96%AB%E6%83%85,[[zh:2019冠状病毒病湖北省疫情
جائحة فيروس كورونا في سلوفينيا 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%B3%D9%84%D9%88%D9%81%D9%8A%D9%86%D9%8A%D8%A7_2020,[[ar:جائحة فيروس كورونا في سلوفينيا 2020
Распаўсюджванне COVID-19 у Славеніі,be.wikipedia,https://be.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D0%B0%D1%9E%D1%81%D1%8E%D0%B4%D0%B6%D0%B2%D0%B0%D0%BD%D0%BD%D0%B5_COVID-19_%D1%83_%D0%A1%D0%BB%D0%B0%D0%B2%D0%B5%D0%BD%D1%96%D1%96,[[be:Распаўсюджванне COVID-19 у Славеніі
Pandèmia per coronavirus de 2020 a Eslovènia,ca.wikipedia,https://ca.wikipedia.org/wiki/Pand%C3%A8mia_per_coronavirus_de_2020_a_Eslov%C3%A8nia,[[ca:Pandèmia per coronavirus de 2020 a Eslovènia
COVID-19-Pandemie in Slowenien,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Slowenien,[[de:COVID-19-Pandemie in Slowenien
COVID-19 pandemic in Slovenia,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Slovenia,[[en:COVID-19 pandemic in Slovenia
